AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1577045692
Flush time ,s: 600
Wait time, s: 30
Measurement time, s: 870
Mass of fish, kg: 0.47000000000000003
Fish length - width - heigth, cm: 34;3.8;6.8;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.53
Salinity: 0.8
Temperature: 10

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-12-23 00:35:21;4.583055555555555;1577062191;159.41238346291752;74.92382022757124;-0.005840983771154067;95.89825773739663;0.9487257462223492;0.0;0.0077667658329010165;870;93.35278169014086;93.407;90.371;96.494;6.123000000000005;11.300754545020327;67.08510638297872;4.583055555555555;274.98333333333335;16499;0.19096064814814814;0.47000000000000003;74.92382022757124;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;14.106348636088422;
2019-12-23 01:00:21;5.0;1577063691;158.02495838037845;74.27173043877788;-0.005790147523588094;95.690321490199;0.9415130682983817;0.0;0.008295068109610698;871;93.17094131455399;93.17500000000001;90.156;96.306;6.1499999999999915;11.300754545020327;67.08510638297872;5.0;300.0;18000;0.20833333333333334;0.47000000000000003;74.27173043877788;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;13.983575853349729;
2019-12-23 01:25:21;5.416666666666667;1577065191;169.8691630353831;79.83850662663006;-0.0062241276553022815;95.7395067319458;0.9522074826302684;0.0;0.007502847309520452;871;93.03081903642772;92.964;89.885;96.097;6.211999999999989;11.300754545020327;67.08510638297872;5.416666666666667;325.0;19500;0.22569444444444445;0.47000000000000003;79.83850662663006;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;15.031665572298966;
2019-12-23 01:50:21;5.833333333333333;1577066691;175.56204139570738;82.51415945598248;-0.0064327187910188065;95.57186482494299;0.9603144732818703;0.0;0.006836947251846723;871;92.77396474735605;92.823;89.633;95.93;6.297000000000011;11.300754545020327;67.08510638297872;5.833333333333333;350.0;21000;0.24305555555555555;0.47000000000000003;82.51415945598248;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;15.535426479382187;
2019-12-23 02:15:21;6.25;1577068191;168.68258649463937;79.28081565248051;-0.006180650641991526;95.37859034539524;0.9535984975904;0.0;0.007392854794574493;871;92.68971680376028;92.723;89.479;95.868;6.388999999999996;11.300754545020327;67.08510638297872;6.25;375.0;22500;0.2604166666666667;0.47000000000000003;79.28081565248051;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;14.926665810024984;
2019-12-23 02:40:21;6.666388888888889;1577069691;175.78734772380366;82.62005343018772;-0.006440974176060803;95.558551505066;0.957090794139831;0.0;0.007109210822313551;870;92.75715158636899;92.763;89.325;95.639;6.313999999999993;11.300754545020327;67.08510638297872;6.666388888888889;399.98333333333335;23999;0.2777662037037037;0.47000000000000003;82.62005343018772;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;15.555363761198077;
2019-12-23 03:05:21;7.083333333333333;1577071191;165.97503958481363;78.00826860486241;-0.006081444186279702;95.70743087425181;0.9423576995022824;0.0;0.008244659542048392;871;93.06549411764706;93.064;89.711;96.222;6.510999999999996;11.300754545020327;67.08510638297872;7.083333333333333;425.0;25500;0.2951388888888889;0.47000000000000003;78.00826860486241;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;14.687075887153966;
2019-12-23 03:30:21;7.5;1577072691;154.35860336265634;72.54854358044848;-0.0056558096528869384;95.66849497413511;0.9468339548084213;0.0;0.00791340390454034;871;93.20984606345476;93.286;90.195;96.16;5.965000000000003;11.300754545020327;67.08510638297872;7.5;450.0;27000;0.3125;0.47000000000000003;72.54854358044848;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;13.65914132084874;
2019-12-23 03:55:21;7.916666666666667;1577074191;158.93081515722892;74.6974831238976;-0.005823338763927363;96.09004601396084;0.9390527323713718;0.0;0.008472728205099528;871;93.55997297297297;93.549;90.488;96.599;6.111000000000004;11.300754545020327;67.08510638297872;7.916666666666667;475.0;28500;0.3298611111111111;0.47000000000000003;74.6974831238976;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;14.063734817358874;
2019-12-23 04:20:22;8.333333333333334;1577075691;151.42990769421613;71.17205661628158;-0.00554850014845319;96.25724055093258;0.9365640344637184;0.0;0.008649078744722328;870;93.84794470588236;93.873;90.566;96.746;6.179999999999993;11.300754545020327;67.08510638297872;8.333333333333334;500.0;30000;0.3472222222222222;0.47000000000000003;71.17205661628158;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;13.399982018098399;
2019-12-23 04:45:22;8.75;1577077191;155.4511162402493;73.06202463291717;-0.005695840106288206;96.53803149175046;0.9413512389317329;0.0;0.008316325801978577;870;94.06741058823529;94.179;91.213;97.146;5.933000000000007;11.300754545020327;67.08510638297872;8.75;525.0;31500;0.3645833333333333;0.47000000000000003;73.06202463291717;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;13.755817420948123;
2019-12-23 05:10:22;9.166666666666666;1577078691;153.75312893624258;72.26397060003401;-0.0056336246367564066;96.44479181310533;0.9386668270726173;0.0;0.008499509646174968;870;93.99954054054054;94.036;90.977;97.4;6.423000000000002;11.300754545020327;67.08510638297872;9.166666666666666;550.0;33000;0.3819444444444444;0.47000000000000003;72.26397060003401;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;13.60556309082864;
2019-12-23 05:35:22;9.583333333333334;1577080191;167.30292934024445;78.6323767899149;-0.006130099016869807;96.62472589521441;0.94427114358163;0.0;0.008101887725061692;870;93.96815276145709;94.077;90.781;97.252;6.470999999999989;11.300754545020327;67.08510638297872;9.583333333333334;575.0;34500;0.3993055555555556;0.47000000000000003;78.6323767899149;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;14.804580408656554;
2019-12-23 06:00:22;10.0;1577081691;144.95467430232267;68.12869692209166;-0.0053112429646956765;96.3243537703011;0.9246254218411271;0.0;0.0094278903129697;870;94.02045529411765;93.996;91.193;97.294;6.100999999999999;11.300754545020327;67.08510638297872;10.0;600.0;36000;0.4166666666666667;0.47000000000000003;68.12869692209166;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;12.826990775248445;
2019-12-23 06:25:22;10.416666666666666;1577083191;144.2152474340847;67.78116629401981;-0.005284149835269267;96.62203432055304;0.9297412612693943;0.0;0.009096960929424676;870;94.32989306698002;94.588;91.43;96.999;5.568999999999988;11.300754545020327;67.08510638297872;10.416666666666666;625.0;37500;0.4340277777777778;0.47000000000000003;67.78116629401981;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;12.761559138334977;
2019-12-23 06:50:22;10.833333333333334;1577084691;150.6329459330389;70.79748458852829;-0.005519298899389943;96.92351160655298;0.9388298890408185;0.0;0.008493206980308175;870;94.52981764705882;94.63900000000001;91.588;97.336;5.748000000000005;11.300754545020327;67.08510638297872;10.833333333333334;650.0;39000;0.4513888888888889;0.47000000000000003;70.79748458852829;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;13.329459137701143;
2019-12-23 07:15:22;11.25;1577086192;145.32039882672436;68.30058744856045;-0.005324643372903237;96.74028456180355;0.9225360494139703;0.0;0.009552036554539437;870;94.42722444183313;94.444;91.489;97.083;5.593999999999994;11.300754545020327;67.08510638297872;11.25;675.0;40500;0.46875;0.47000000000000003;68.30058744856045;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;12.859353616414909;
2019-12-23 07:40:22;11.666666666666666;1577087692;150.9122024909026;70.92873517072422;-0.005529531059445749;96.8166256311621;0.934344577278813;0.0;0.008788724241300993;870;94.41441431924883;94.465;91.331;97.485;6.153999999999996;11.300754545020327;67.08510638297872;11.666666666666666;700.0;42000;0.4861111111111111;0.47000000000000003;70.92873517072422;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;13.354170457352513;
2019-12-23 08:05:22;12.083333333333334;1577089192;145.55504310626554;68.41087025994482;-0.005333240907166397;96.65074911731914;0.9210949865722842;0.0;0.009640475470029478;870;94.33397297297297;94.444;90.859;97.167;6.308000000000007;11.300754545020327;67.08510638297872;12.083333333333334;725.0;43500;0.5034722222222222;0.47000000000000003;68.41087025994482;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;12.88011721043922;
2019-12-23 08:30:22;12.5;1577090692;151.7011391946494;71.29953542148522;-0.005558438264663747;96.80501288240345;0.9433066488823956;0.0;0.008166888032681613;870;94.39054342723003;94.4545;91.548;96.999;5.450999999999993;11.300754545020327;67.08510638297872;12.5;750.0;45000;0.5208333333333334;0.47000000000000003;71.29953542148522;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;13.423983203094737;
2019-12-23 08:55:22;12.916666666666666;1577092192;146.1849408447845;68.70692219704873;-0.005356320810924512;96.85010346056839;0.9350438079295831;0.0;0.008746945761442242;870;94.5217215041128;94.506;91.786;97.421;5.635000000000005;11.300754545020327;67.08510638297872;12.916666666666666;775.0;46500;0.5381944444444444;0.47000000000000003;68.70692219704873;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;12.935856651200414;
2019-12-23 09:20:22;13.333333333333334;1577093692;155.65197913690756;73.15643019434656;-0.005703199866515875;96.83578236358345;0.9447888060288797;0.0;0.008068924343447728;870;94.35497764705882;94.444;91.134;97.315;6.180999999999997;11.300754545020327;67.08510638297872;13.333333333333334;800.0;48000;0.5555555555555556;0.47000000000000003;73.15643019434656;15.083820434608345;16.307320287971994;0.4796270672932939;-0.4248046875;13.773591711669868;
2019-12-23 09:45:22;13.75;1577095192;154.66506639338618;72.69258120489151;-0.005667038677571638;96.81721273692368;0.9346150500340377;0.0;0.008775766367828614;870;94.35217743830788;94.485;91.43;97.358;5.927999999999997;11.300754545020327;67.08510638297872;13.75;825.0;49500;0.5729166666666666;0.47000000000000003;72.69258120489151;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;13.686260132208542;
