AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1577292737
Flush time ,s: 600
Wait time, s: 30
Measurement time, s: 870
Mass of fish, kg: 0.495
Fish length - width - heigth, cm: 35.2;4.4;7.2;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.505
Salinity: 0.8
Temperature: 10

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-12-25 21:12:48;4.583611111111111;1577309237;239.90294212386237;118.75195635131188;-0.009265126350691318;99.60588695996118;0.9718393378414549;0.0;0.005762666745279672;870;95.57919764705882;95.764;90.566;99.608;9.042000000000002;11.300754545020327;63.64646464646464;4.583611111111111;275.01666666666665;16501;0.1909837962962963;0.495;118.75195635131188;15.31756490928045;16.91319756241612;0.48048856711409427;-0.4296875;21.228931322074907;
2019-12-25 21:37:48;5.000277777777778;1577310737;242.12316144459626;119.85096491507515;-0.0093508719124203;98.16559586461858;0.9483428839835539;0.0;0.007804896565410232;870;94.09550235294117;94.414;89.017;97.888;8.87100000000001;11.300754545020327;63.64646464646464;5.000277777777778;300.01666666666665;18001;0.2083449074074074;0.495;119.85096491507515;15.31756490928045;16.91319756241612;0.48048856711409427;-0.4296875;21.425397789149198;
2019-12-25 22:02:48;5.416944444444445;1577312237;224.69837044959922;111.22569337255162;-0.00867792105665429;97.01119228825591;0.9599772177241401;0.0;0.006865936666503216;870;93.23409400705054;93.589;88.616;97.294;8.677999999999997;11.300754545020327;63.64646464646464;5.416944444444445;325.01666666666665;19501;0.22570601851851851;0.495;111.22569337255162;15.083820434608345;16.65510389657128;0.4731563606980477;-0.423583984375;19.883483846537704;
2019-12-25 22:27:48;5.833611111111111;1577313737;324.5197153865452;160.6372591163399;-0.012533052490845874;96.81519990667043;0.9812758453989886;0.0;0.004696207351432211;870;91.36774030552291;91.707;84.996;96.536;11.540000000000006;11.300754545020327;63.64646464646464;5.833611111111111;350.01666666666665;21001;0.24306712962962962;0.495;160.6372591163399;14.908512078604268;16.46153364718765;0.4676572058860128;-0.419921875;28.71664136175267;
2019-12-25 22:52:48;6.250277777777778;1577315238;337.1761680243631;166.90220317205973;-0.013021848633997715;95.62356013867138;0.9828375837184941;0.0;0.0045013990061317285;870;89.96710836277975;90.156;84.143;95.432;11.289000000000001;11.300754545020327;63.64646464646464;6.250277777777778;375.01666666666665;22501;0.2604282407407407;0.495;166.90220317205973;15.083820434608345;16.65510389657128;0.4731563606980477;-0.423583984375;29.83660663375258;
2019-12-25 23:17:48;6.666944444444445;1577316738;265.40010134373176;131.37305016514722;-0.010249834581713411;95.37274167287575;0.9715572163241616;0.0;0.0057914608248401805;870;90.92028588235293;91.134;85.6;95.184;9.584000000000003;11.300754545020327;63.64646464646464;6.666944444444445;400.01666666666665;24001;0.27778935185185183;0.495;131.37305016514722;14.73320372260019;16.26796339780402;0.46215805107397784;-0.41748046875;23.485166436136797;
2019-12-25 23:42:48;7.083611111111111;1577318238;182.80635952187598;90.4891479633286;-0.007060038545945013;95.84206097329881;0.950463893279578;0.0;0.007638482536078203;870;92.77543243243242;92.984;88.845;95.868;7.022999999999996;11.300754545020327;63.64646464646464;7.083611111111111;425.01666666666665;25501;0.295150462962963;0.495;90.4891479633286;15.434437146616503;17.042244395338543;0.4841546703221176;-0.43212890625;16.176473773818007;
2019-12-26 00:07:48;7.500277777777778;1577319737;197.4682774999137;97.74679736245729;-0.0076262863852060055;97.58317181770158;0.9531969138198988;0.0;0.007424776763535766;870;94.27433137485312;94.506;90.371;97.782;7.411000000000001;11.300754545020327;63.64646464646464;7.500277777777778;450.01666666666665;27001;0.3125115740740741;0.495;97.74679736245729;15.434437146616503;17.042244395338543;0.4841546703221176;-0.43212890625;17.473902004793832;
2019-12-26 00:32:48;7.916944444444445;1577321238;143.98542324178553;71.27278450468384;-0.005560761894717155;98.04392359700925;0.9265322620543107;0.0;0.009302388838280946;870;95.63237602820212;95.743;92.323;98.401;6.078000000000003;11.300754545020327;63.64646464646464;7.916944444444445;475.01666666666665;28501;0.3298726851851852;0.495;71.27278450468384;14.616331485264137;16.1389165648816;0.45849194786595454;-0.411376953125;12.741222072222836;
2019-12-26 00:57:48;8.33361111111111;1577322738;152.67860536197148;75.57590965417589;-0.005896495295983693;99.07060022781981;0.9358649226369365;0.0;0.00869660781319031;870;96.50851058823531;96.67250000000001;92.984;99.717;6.733000000000004;11.300754545020327;63.64646464646464;8.33361111111111;500.01666666666665;30001;0.3472337962962963;0.495;75.57590965417589;15.551309383952553;17.17129122826096;0.4878207735301408;-0.4345703125;13.510478858179363;
