Time;Seconds from start for linreg;Unix Time;ch1 po2;Uc;Ubl;Vc;
20:37:59;-2.0;1574368681;91.407;18.2958309237922;0.5012556417477315;-0.45166015625;
20:38:00;-1.0;1574368681;91.367;18.2958309237922;0.5012556417477315;-0.45166015625;
20:38:01;0.0;1574368682;91.17;18.2958309237922;0.5012556417477315;-0.45166015625;
20:38:02;1.0;1574368683;91.328;18.16520471093928;0.49767684139559665;-0.44921875;
20:38:03;2.0;1574368684;91.209;18.426457136645112;0.504834442099866;-0.4541015625;
20:38:04;3.0;1574368685;91.288;18.2958309237922;0.5012556417477315;-0.45166015625;
20:38:05;4.0;1574368686;91.308;18.687709562350943;0.5119920428041355;-0.458984375;
20:38:06;5.0;1574368687;91.288;18.426457136645112;0.504834442099866;-0.4541015625;
20:38:07;6.0;1574368689;91.764;18.034578498086365;0.49409804104346206;-0.44677734375;
20:38:08;7.0;1574368690;91.665;18.2958309237922;0.5012556417477315;-0.45166015625;
20:38:09;8.0;1574368691;91.704;18.2958309237922;0.5012556417477315;-0.45166015625;
20:38:10;9.0;1574368692;91.863;18.16520471093928;0.49767684139559665;-0.44921875;
20:38:11;10.0;1574368693;91.704;18.2958309237922;0.5012556417477315;-0.45166015625;
20:38:12;11.0;1574368694;91.804;17.903952285233448;0.49051924069132735;-0.4443359375;
20:38:14;13.0;1574368695;91.585;16.72831636955721;0.4583100375221153;-0.42236328125;
20:38:15;14.0;1574368696;91.486;21.16960760655634;0.5799892494946942;-0.50537109375;
20:38:16;15.0;1574368697;91.15;18.2958309237922;0.5012556417477315;-0.45166015625;
20:38:17;16.0;1574368698;90.757;18.426457136645112;0.504834442099866;-0.4541015625;
20:38:18;17.0;1574368699;91.052;18.16520471093928;0.49767684139559665;-0.44921875;
20:38:19;18.0;1574368700;90.914;18.2958309237922;0.5012556417477315;-0.45166015625;
20:38:20;19.0;1574368701;91.15;18.16520471093928;0.49767684139559665;-0.44921875;
20:38:21;20.0;1574368702;91.308;18.034578498086365;0.49409804104346206;-0.44677734375;
20:38:22;21.0;1574368703;91.387;18.16520471093928;0.49767684139559665;-0.44921875;
20:38:23;22.0;1574368704;91.447;18.16520471093928;0.49767684139559665;-0.44921875;
20:38:24;23.0;1574368705;91.665;18.2958309237922;0.5012556417477315;-0.45166015625;
20:38:25;24.0;1574368706;91.863;16.467063943851375;0.4511524368178459;-0.41748046875;
20:38:26;25.0;1574368707;91.863;18.16520471093928;0.49767684139559665;-0.44921875;
20:38:27;26.0;1574368708;91.883;18.426457136645112;0.504834442099866;-0.4541015625;
20:38:28;27.0;1574368709;91.605;18.2958309237922;0.5012556417477315;-0.45166015625;
20:38:29;28.0;1574368710;91.546;16.858942582410123;0.46188883787424995;-0.4248046875;
20:38:30;29.0;1574368711;91.367;18.16520471093928;0.49767684139559665;-0.44921875;
20:38:31;30.0;1574368712;91.209;19.602093052321354;0.5370436452690782;-0.47607421875;
20:38:32;31.0;1574368713;90.993;18.034578498086365;0.49409804104346206;-0.44677734375;
20:38:33;32.0;1574368714;90.835;18.16520471093928;0.49767684139559665;-0.44921875;
20:38:34;33.0;1574368715;90.855;18.2958309237922;0.5012556417477315;-0.45166015625;
20:38:35;34.0;1574368716;90.973;18.426457136645112;0.504834442099866;-0.4541015625;
20:38:36;35.0;1574368717;91.17;18.2958309237922;0.5012556417477315;-0.45166015625;
20:38:37;36.0;1574368718;91.367;18.426457136645112;0.504834442099866;-0.4541015625;
20:38:38;37.0;1574368719;91.249;18.2958309237922;0.5012556417477315;-0.45166015625;
20:38:39;38.0;1574368720;91.269;18.16520471093928;0.49767684139559665;-0.44921875;
20:38:40;39.0;1574368721;91.486;18.2958309237922;0.5012556417477315;-0.45166015625;
20:38:41;40.0;1574368722;91.466;18.2958309237922;0.5012556417477315;-0.45166015625;
20:38:42;41.0;1574368723;91.566;18.16520471093928;0.49767684139559665;-0.44921875;
20:38:43;42.0;1574368724;91.645;18.2958309237922;0.5012556417477315;-0.45166015625;
20:38:44;43.0;1574368725;91.269;18.426457136645112;0.504834442099866;-0.4541015625;
20:38:45;44.0;1574368726;91.15;18.426457136645112;0.504834442099866;-0.4541015625;
20:38:46;45.0;1574368727;91.111;18.16520471093928;0.49767684139559665;-0.44921875;
20:38:47;46.0;1574368728;90.874;18.16520471093928;0.49767684139559665;-0.44921875;
20:38:48;47.0;1574368729;91.032;17.25082122096887;0.472625238930654;-0.43212890625;
20:38:49;48.0;1574368730;90.973;18.2958309237922;0.5012556417477315;-0.45166015625;
20:38:50;49.0;1574368732;90.953;18.16520471093928;0.49767684139559665;-0.44921875;
20:38:51;50.0;1574368733;90.973;18.16520471093928;0.49767684139559665;-0.44921875;
20:38:52;51.0;1574368734;91.17;18.426457136645112;0.504834442099866;-0.4541015625;
20:38:53;52.0;1574368735;91.19;18.2958309237922;0.5012556417477315;-0.45166015625;
20:38:54;53.0;1574368736;91.546;18.55708334949803;0.5084132424520008;-0.45654296875;
20:38:55;54.0;1574368737;91.704;18.426457136645112;0.504834442099866;-0.4541015625;
20:38:56;55.0;1574368738;91.328;18.034578498086365;0.49409804104346206;-0.44677734375;
20:38:57;56.0;1574368739;91.526;18.687709562350943;0.5119920428041355;-0.458984375;
20:38:58;57.0;1574368740;91.229;18.2958309237922;0.5012556417477315;-0.45166015625;
20:38:59;58.0;1574368741;91.466;17.773326072380534;0.4869404403391927;-0.44189453125;
20:39:00;59.0;1574368742;91.704;18.426457136645112;0.504834442099866;-0.4541015625;
