Time;Seconds from start for linreg;Unix Time;ch1 po2;Uc;Ubl;Vc;
15:02:18;-1.0;1577718139;91.866;1.416903854318558;0.04036763117716689;-0.13671875;
15:02:19;0.0;1577718140;91.947;0.5203300539348553;0.014824218060822089;-0.11962890625;
15:02:20;1.0;1577718141;92.007;1.416903854318558;0.04036763117716689;-0.13671875;
15:02:21;2.0;1577718142;91.987;18.06756014715874;0.5147453033378558;-0.4541015625;
15:02:22;3.0;1577718143;92.149;18.19564211864213;0.5183943623544767;-0.45654296875;
15:02:23;4.0;1577718144;92.169;18.451806061608902;0.525692480387718;-0.46142578125;
15:02:24;5.0;1577718145;92.027;17.427150289741814;0.4965000082547525;-0.44189453125;
15:02:25;6.0;1577718146;92.027;17.939478175675358;0.5110962443212352;-0.45166015625;
15:02:26;7.0;1577718147;92.189;17.427150289741814;0.4965000082547525;-0.44189453125;
15:02:27;8.0;1577718148;91.846;17.427150289741814;0.4965000082547525;-0.44189453125;
15:02:28;9.0;1577718149;91.846;18.836051976059057;0.5366396574375799;-0.46875;
15:02:29;10.0;1577718150;91.886;17.81139620419197;0.5074471853046144;-0.44921875;
15:02:30;11.0;1577718151;91.866;17.427150289741814;0.4965000082547525;-0.44189453125;
15:02:31;12.0;1577718152;92.027;19.860707747926146;0.5658321295705454;-0.48828125;
15:02:32;13.0;1577718153;91.745;17.427150289741814;0.4965000082547525;-0.44189453125;
15:02:33;14.0;1577718154;91.745;18.707970004575674;0.5329905984209594;-0.46630859375;
15:02:34;15.0;1577718155;91.564;17.683314232708586;0.5037981262879939;-0.44677734375;
15:02:35;16.0;1577718156;91.685;16.91482240380827;0.48190377218826974;-0.43212890625;
15:02:36;17.0;1577718157;91.805;17.17098634677504;0.4892018902215111;-0.43701171875;
15:02:37;18.0;1577718158;91.765;17.427150289741814;0.4965000082547525;-0.44189453125;
15:02:38;19.0;1577718159;91.785;17.555232261225196;0.5001490672713731;-0.4443359375;
15:02:39;20.0;1577718160;91.604;19.604543804959373;0.5585340115373041;-0.4833984375;
15:02:40;21.0;1577718161;91.644;20.116871690892918;0.5731302476037868;-0.4931640625;
15:02:41;22.0;1577718162;91.283;16.78674043232488;0.47825471317164897;-0.4296875;
15:02:42;23.0;1577718163;91.183;17.427150289741814;0.4965000082547525;-0.44189453125;
15:02:43;24.0;1577718164;91.343;17.683314232708586;0.5037981262879939;-0.44677734375;
15:02:44;25.0;1577718165;91.283;17.939478175675358;0.5110962443212352;-0.45166015625;
15:02:45;26.0;1577718166;91.665;17.427150289741814;0.4965000082547525;-0.44189453125;
15:02:46;27.0;1577718167;91.584;17.683314232708586;0.5037981262879939;-0.44677734375;
15:02:47;28.0;1577718168;91.644;17.299068318258424;0.4928509492381317;-0.439453125;
15:02:48;29.0;1577718169;91.886;18.06756014715874;0.5147453033378558;-0.4541015625;
15:02:49;30.0;1577718170;91.906;18.06756014715874;0.5147453033378558;-0.4541015625;
15:02:50;31.0;1577718171;91.967;17.042904375291652;0.48555283120489034;-0.4345703125;
15:02:51;32.0;1577718173;92.007;17.81139620419197;0.5074471853046144;-0.44921875;
15:02:52;33.0;1577718174;91.624;18.06756014715874;0.5147453033378558;-0.4541015625;
15:02:53;34.0;1577718175;91.504;17.683314232708586;0.5037981262879939;-0.44677734375;
15:02:54;35.0;1577718176;91.564;19.604543804959373;0.5585340115373041;-0.4833984375;
15:02:55;36.0;1577718177;91.263;16.91482240380827;0.48190377218826974;-0.43212890625;
15:02:56;37.0;1577718178;91.343;17.939478175675358;0.5110962443212352;-0.45166015625;
15:02:57;38.0;1577718179;91.363;16.91482240380827;0.48190377218826974;-0.43212890625;
15:02:58;39.0;1577718180;91.303;17.939478175675358;0.5110962443212352;-0.45166015625;
15:02:59;40.0;1577718181;91.564;17.299068318258424;0.4928509492381317;-0.439453125;
15:03:00;41.0;1577718182;91.705;17.81139620419197;0.5074471853046144;-0.44921875;
15:03:01;42.0;1577718183;91.604;1.416903854318558;0.04036763117716689;-0.13671875;
15:03:02;43.0;1577718184;92.048;0.008002168001311016;0.00022798199433934517;-0.10986328125;
15:03:03;44.0;1577718185;92.068;17.939478175675358;0.5110962443212352;-0.45166015625;
15:03:04;45.0;1577718186;92.209;17.683314232708586;0.5037981262879939;-0.44677734375;
15:03:06;47.0;1577718187;92.209;17.299068318258424;0.4928509492381317;-0.439453125;
15:03:07;48.0;1577718188;92.068;18.451806061608902;0.525692480387718;-0.46142578125;
15:03:08;49.0;1577718189;91.826;17.427150289741814;0.4965000082547525;-0.44189453125;
15:03:09;50.0;1577718190;91.624;17.81139620419197;0.5074471853046144;-0.44921875;
15:03:10;51.0;1577718191;91.665;17.427150289741814;0.4965000082547525;-0.44189453125;
15:03:11;52.0;1577718192;91.283;18.836051976059057;0.5366396574375799;-0.46875;
15:03:12;53.0;1577718193;91.323;18.451806061608902;0.525692480387718;-0.46142578125;
15:03:13;54.0;1577718194;91.163;18.579888033092285;0.5293415394043386;-0.4638671875;
15:03:14;55.0;1577718195;91.004;18.19564211864213;0.5183943623544767;-0.45654296875;
15:03:15;56.0;1577718196;91.263;18.19564211864213;0.5183943623544767;-0.45654296875;
15:03:16;57.0;1577718197;91.083;16.402494517874725;0.46730753612178705;-0.42236328125;
15:03:17;58.0;1577718198;91.283;17.299068318258424;0.4928509492381317;-0.439453125;
15:03:18;59.0;1577718199;91.223;16.530576489358108;0.4709565951384076;-0.4248046875;
15:03:19;60.0;1577718200;91.183;17.939478175675358;0.5110962443212352;-0.45166015625;
15:03:20;61.0;1577718201;91.524;19.22029789050922;0.547586834487442;-0.47607421875;
15:03:21;62.0;1577718202;91.303;15.89016663194118;0.45271130005530424;-0.41259765625;
15:03:22;63.0;1577718203;91.343;1.8011497687687161;0.05131480822702895;-0.14404296875;
15:03:23;64.0;1577718204;91.363;0.39224808245146925;0.011175159044201403;-0.1171875;
15:03:24;65.0;1577718205;91.404;17.17098634677504;0.4892018902215111;-0.43701171875;
15:03:25;66.0;1577718206;91.444;17.939478175675358;0.5110962443212352;-0.45166015625;
15:03:26;67.0;1577718207;91.524;0.5203300539348553;0.014824218060822089;-0.11962890625;
15:03:27;68.0;1577718208;91.323;1.1607399113517858;0.03306951314392552;-0.1318359375;
15:03:28;69.0;1577718209;91.143;17.683314232708586;0.5037981262879939;-0.44677734375;
15:03:29;70.0;1577718210;91.103;17.299068318258424;0.4928509492381317;-0.439453125;
15:03:30;71.0;1577718211;91.163;17.042904375291652;0.48555283120489034;-0.4345703125;
15:03:31;72.0;1577718212;91.323;17.042904375291652;0.48555283120489034;-0.4345703125;
15:03:32;73.0;1577718213;91.123;17.299068318258424;0.4928509492381317;-0.439453125;
15:03:33;74.0;1577718214;91.203;16.146330574907953;0.4600094180885457;-0.41748046875;
15:03:34;75.0;1577718215;91.363;17.555232261225196;0.5001490672713731;-0.4443359375;
15:03:35;76.0;1577718216;91.243;17.17098634677504;0.4892018902215111;-0.43701171875;
