Time;Seconds from start for linreg;Unix Time;ch1 po2;Uc;Ubl;Vc;
12:31:48;-2.0;1572611510;104.854;18.29365811074342;0.44618678318886384;-0.44677734375;
12:31:49;-1.0;1572611511;104.807;17.896149855396168;0.43649145988771143;-0.439453125;
12:31:50;0.0;1572611511;104.669;18.161155358961;0.4429550087551464;-0.4443359375;
12:31:51;1.0;1572611512;104.554;18.028652607178586;0.4397232343214289;-0.44189453125;
12:31:52;2.0;1572611513;104.692;18.028652607178586;0.4397232343214289;-0.44189453125;
12:31:53;3.0;1572611515;104.854;18.426160862525833;0.4494185576225813;-0.44921875;
12:31:54;4.0;1572611515;104.761;18.426160862525833;0.4494185576225813;-0.44921875;
12:31:55;5.0;1572611516;104.738;17.896149855396168;0.43649145988771143;-0.439453125;
12:31:56;6.0;1572611517;104.669;18.028652607178586;0.4397232343214289;-0.44189453125;
12:31:57;7.0;1572611518;104.416;17.763647103613753;0.43325968545399396;-0.43701171875;
12:31:58;8.0;1572611520;104.531;17.498641600048924;0.4267961365865591;-0.43212890625;
12:31:59;9.0;1572611521;104.692;16.306116834007174;0.3977101666831018;-0.41015625;
12:32:00;10.0;1572611521;104.623;18.55866361430825;0.45265033205629884;-0.45166015625;
12:32:01;11.0;1572611522;104.9;18.161155358961;0.4429550087551464;-0.4443359375;
12:32:02;12.0;1572611524;105.316;18.55866361430825;0.45265033205629884;-0.45166015625;
12:32:03;13.0;1572611524;104.992;17.763647103613753;0.43325968545399396;-0.43701171875;
12:32:04;14.0;1572611526;105.108;18.426160862525833;0.4494185576225813;-0.44921875;
12:32:05;15.0;1572611527;104.738;18.29365811074342;0.44618678318886384;-0.44677734375;
12:32:06;16.0;1572611527;104.439;18.028652607178586;0.4397232343214289;-0.44189453125;
12:32:07;17.0;1572611529;104.6;18.028652607178586;0.4397232343214289;-0.44189453125;
12:32:08;18.0;1572611530;104.623;18.028652607178586;0.4397232343214289;-0.44189453125;
12:32:09;19.0;1572611530;104.969;18.55866361430825;0.45265033205629884;-0.45166015625;
12:32:10;20.0;1572611532;105.085;18.161155358961;0.4429550087551464;-0.4443359375;
12:32:11;21.0;1572611533;104.923;18.29365811074342;0.44618678318886384;-0.44677734375;
12:32:12;22.0;1572611533;104.761;18.29365811074342;0.44618678318886384;-0.44677734375;
12:32:13;23.0;1572611535;104.508;18.29365811074342;0.44618678318886384;-0.44677734375;
12:32:14;24.0;1572611536;104.072;17.763647103613753;0.43325968545399396;-0.43701171875;
