Time;Seconds from start for linreg;Unix Time;ch1 po2;Uc;Ubl;Vc;
03:00:22;-2.0;1573268424;96.8;19.96515475674123;0.5295797017703244;-0.48583984375;
03:00:23;-1.0;1573268425;97.075;18.669241880682367;0.4952053549252617;-0.46142578125;
03:00:24;0.0;1573268426;96.927;19.446789606317687;0.5158299630322993;-0.47607421875;
03:00:25;1.0;1573268427;96.927;19.058015743500025;0.5055176589787804;-0.46875;
03:00:26;2.0;1573268428;96.632;18.92842445589414;0.5020802242942742;-0.46630859375;
03:00:27;3.0;1573268429;96.611;19.187607031105912;0.5089550936632867;-0.47119140625;
03:00:28;4.0;1573268430;96.254;19.187607031105912;0.5089550936632867;-0.47119140625;
03:00:29;5.0;1573268431;95.982;19.187607031105912;0.5089550936632867;-0.47119140625;
03:00:30;6.0;1573268432;96.254;19.57638089392357;0.5192673977168055;-0.478515625;
03:00:32;8.0;1573268433;95.773;19.317198318711796;0.5123925283477929;-0.4736328125;
03:00:33;9.0;1573268434;95.523;19.187607031105912;0.5089550936632867;-0.47119140625;
03:00:34;10.0;1573268435;95.69;18.92842445589414;0.5020802242942742;-0.46630859375;
03:00:35;11.0;1573268436;95.669;18.79883316828825;0.4986427896097679;-0.4638671875;
03:00:36;12.0;1573268437;95.856;19.058015743500025;0.5055176589787804;-0.46875;
03:00:37;13.0;1573268438;96.149;19.317198318711796;0.5123925283477929;-0.4736328125;
03:00:38;14.0;1573268439;96.254;18.280468017864706;0.48489305087174284;-0.4541015625;
03:00:39;15.0;1573268440;95.773;15.299868402929322;0.40583205312809867;-0.39794921875;
03:00:40;16.0;1573268441;96.295;19.187607031105912;0.5089550936632867;-0.47119140625;
03:00:41;17.0;1573268442;96.295;19.317198318711796;0.5123925283477929;-0.4736328125;
03:00:42;18.0;1573268443;95.752;19.187607031105912;0.5089550936632867;-0.47119140625;
03:00:43;19.0;1573268444;96.065;19.058015743500025;0.5055176589787804;-0.46875;
03:00:44;20.0;1573268445;95.919;19.187607031105912;0.5089550936632867;-0.47119140625;
03:00:45;21.0;1573268446;95.877;19.058015743500025;0.5055176589787804;-0.46875;
03:00:46;22.0;1573268447;96.107;19.058015743500025;0.5055176589787804;-0.46875;
03:00:47;23.0;1573268448;96.044;19.317198318711796;0.5123925283477929;-0.4736328125;
03:00:48;24.0;1573268449;95.982;19.317198318711796;0.5123925283477929;-0.4736328125;
03:00:49;25.0;1573268450;96.337;18.92842445589414;0.5020802242942742;-0.46630859375;
