Time;Seconds from start for linreg;Unix Time;ch1 po2;Uc;Ubl;Vc;
00:42:40;-1.0;1575074561;99.39;-2.303365002352119;-0.06398236117644775;-0.06591796875;
00:42:41;0.0;1575074562;99.39;-2.303365002352119;-0.06398236117644775;-0.06591796875;
00:42:42;1.0;1575074563;99.194;-2.303365002352119;-0.06398236117644775;-0.06591796875;
00:42:43;2.0;1575074564;98.418;-2.303365002352119;-0.06398236117644775;-0.06591796875;
00:42:44;3.0;1575074565;98.913;-2.303365002352119;-0.06398236117644775;-0.06591796875;
00:42:45;4.0;1575074566;98.676;-2.303365002352119;-0.06398236117644775;-0.06591796875;
00:42:46;5.0;1575074567;98.139;-2.303365002352119;-0.06398236117644775;-0.06591796875;
00:42:47;6.0;1575074568;98.439;-2.303365002352119;-0.06398236117644775;-0.06591796875;
00:42:48;7.0;1575074569;98.203;-2.303365002352119;-0.06398236117644775;-0.06591796875;
00:42:49;8.0;1575074570;98.203;-2.303365002352119;-0.06398236117644775;-0.06591796875;
00:42:50;9.0;1575074571;98.719;-2.303365002352119;-0.06398236117644775;-0.06591796875;
00:42:51;10.0;1575074572;98.676;-2.303365002352119;-0.06398236117644775;-0.06591796875;
00:42:52;11.0;1575074573;98.375;-2.303365002352119;-0.06398236117644775;-0.06591796875;
00:42:53;12.0;1575074574;98.59;-2.303365002352119;-0.06398236117644775;-0.06591796875;
00:42:54;13.0;1575074575;98.654;-2.303365002352119;-0.06398236117644775;-0.06591796875;
00:42:55;14.0;1575074576;98.439;-2.303365002352119;-0.06398236117644775;-0.06591796875;
00:42:56;15.0;1575074577;98.439;-2.303365002352119;-0.06398236117644775;-0.06591796875;
00:42:57;16.0;1575074578;98.654;-2.303365002352119;-0.06398236117644775;-0.06591796875;
00:42:58;17.0;1575074579;98.568;-2.303365002352119;-0.06398236117644775;-0.06591796875;
00:42:59;18.0;1575074580;98.439;-2.303365002352119;-0.06398236117644775;-0.06591796875;
00:43:00;19.0;1575074581;98.225;-2.303365002352119;-0.06398236117644775;-0.06591796875;
00:43:01;20.0;1575074582;98.032;-2.303365002352119;-0.06398236117644775;-0.06591796875;
00:43:02;21.0;1575074583;98.096;-2.303365002352119;-0.06398236117644775;-0.06591796875;
00:43:03;22.0;1575074584;98.482;-2.303365002352119;-0.06398236117644775;-0.06591796875;
