AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1573222491
Flush time ,s: 300
Wait time, s: 30
Measurement time, s: 870
Mass of fish, kg: 0.498
Fish length - width - heigth, cm: 37.7;4.4;7;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.502
Salinity: 1.1
Temperature: 12

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-11-08 17:40:22;3.667222222222222;1573235692;173.91528009396242;86.60980948679328;-0.007095776019231317;96.17813688322781;0.9508255239792629;0.0;0.00761054968156182;871;93.0933337250294;93.046;89.278;97.096;7.817999999999998;10.762831892918802;63.257028112449795;3.667222222222222;220.03333333333333;13202;0.15280092592592592;0.498;86.60980948679328;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;16.15887731261385;
2019-11-08 18:00:23;4.000277777777778;1573236892;151.33358307588196;75.36412437178922;-0.00617443854912592;96.20843833344367;0.931930864545414;0.0;0.008980569827403213;869;93.53035224586289;93.37899999999999;90.698;96.8;6.102000000000004;10.762831892918802;63.257028112449795;4.000277777777778;240.01666666666668;14401;0.16667824074074075;0.498;75.36412437178922;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;14.060758783703477;
2019-11-08 18:20:22;4.333888888888889;1573238092;157.44827221107508;78.40923956111538;-0.006423919011723088;96.78974674050467;0.9368400296894345;0.0;0.00862008395691102;871;93.99522887323944;94.0;90.698;97.669;6.971000000000004;10.762831892918802;63.257028112449795;4.333888888888889;260.03333333333336;15602;0.1805787037037037;0.498;78.40923956111538;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;14.628888918600051;
2019-11-08 18:40:22;4.666944444444445;1573239292;161.89473852315405;80.62357978453072;-0.006605335670515367;97.06950638022171;0.940826345303404;0.0;0.008338720485659092;870;94.20356506447831;94.245;91.19;97.414;6.224000000000004;10.762831892918802;63.257028112449795;4.666944444444445;280.01666666666665;16801;0.19445601851851851;0.498;80.62357978453072;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;15.042020551270486;
2019-11-08 19:00:22;5.000555555555556;1573240492;168.48856365938462;83.90730470237354;-0.0068743649717440515;97.20446805495631;0.9371064837702188;0.0;0.008622193326857085;871;94.21296816037737;94.224;90.953;98.01;7.057000000000002;10.762831892918802;63.257028112449795;5.000555555555556;300.03333333333336;18002;0.20835648148148148;0.498;83.90730470237354;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;15.654668337822727;
2019-11-08 19:20:23;5.333888888888889;1573241692;183.24820336286828;91.25760527470841;-0.007476561037575011;97.46425226223545;0.9386665834855403;0.0;0.00849452533136765;870;94.21601995305164;94.0915;90.835;98.59;7.75500000000001;10.762831892918802;63.257028112449795;5.333888888888889;320.03333333333336;19202;0.22224537037037037;0.498;91.25760527470841;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;17.026021142579854;
2019-11-08 19:40:23;5.667222222222223;1573242892;158.82611643877445;79.09540598650968;-0.00648013531441865;96.51602300407066;0.9350434827896255;0.0;0.008762462736226181;870;93.70435495283017;93.572;90.6;97.286;6.686000000000007;10.762831892918802;63.257028112449795;5.667222222222223;340.03333333333336;20402;0.23613425925925927;0.498;79.09540598650968;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;14.75690766323973;
2019-11-08 20:00:23;6.000555555555556;1573244092;169.01853787782082;84.17123186315477;-0.006895988019172422;96.85282744613322;0.9452429948800267;0.0;0.00804040894834579;870;93.85203297997644;93.592;90.737;97.414;6.677000000000007;10.762831892918802;63.257028112449795;6.000555555555556;360.03333333333336;21602;0.25002314814814813;0.498;84.17123186315477;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;15.70390948770865;
2019-11-08 20:20:23;6.333888888888889;1573245293;160.52748866403465;79.94268935468925;-0.006549551620043233;96.90702608639467;0.9370741577366009;0.0;0.008624408861326531;870;94.06864504716982;93.959;90.796;97.563;6.766999999999996;10.762831892918802;63.257028112449795;6.333888888888889;380.03333333333336;22802;0.26391203703703703;0.498;79.94268935468925;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;14.914986154308572;
2019-11-08 20:40:23;6.667222222222223;1573246492;185.89565251031044;92.5760349501346;-0.007584577458917661;97.12338553392519;0.9564199269439646;0.0;0.0071772619235135875;870;93.83128537735848;93.714;90.287;97.925;7.637999999999991;10.762831892918802;63.257028112449795;6.667222222222223;400.03333333333336;24002;0.2778009259259259;0.498;92.5760349501346;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;17.272001863433072;
