AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1573141844
Flush time ,s: 300
Wait time, s: 30
Measurement time, s: 870
Mass of fish, kg: 0.498
Fish length - width - heigth, cm: 37.7;4.4;7;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.502
Salinity: 1.1
Temperature: 12

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-11-07 19:16:16;3.667222222222222;1573155045;203.25934420591898;101.22315341454765;-0.008293019334021781;96.9502461144714;0.953146460800842;0.0;0.007428777584149898;870;93.34820094007051;93.066;89.703;97.84;8.137;10.762831892918802;63.257028112449795;3.667222222222222;220.03333333333333;13202;0.15280092592592592;0.498;101.22315341454765;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;18.885303257375;
2019-11-07 19:36:16;4.000555555555556;1573156245;215.2325918275952;107.18583073014241;-0.008781530080750345;95.9022600878431;0.9683200116750916;0.0;0.006112158112994215;870;92.0875117647059;91.824;87.692;96.632;8.940000000000012;10.762831892918802;63.257028112449795;4.000555555555556;240.03333333333333;14402;0.16668981481481482;0.498;107.18583073014241;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;19.997765826780526;
2019-11-07 19:56:16;4.333888888888889;1573157446;164.8595330298759;82.1000474488782;-0.006726299841986554;95.09604021035253;0.940416253475248;0.0;0.008367565558636927;870;92.1732145369285;91.963;88.376;95.773;7.396999999999991;10.762831892918802;63.257028112449795;4.333888888888889;260.03333333333336;15602;0.1805787037037037;0.498;82.1000474488782;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;15.317486575103162;
2019-11-07 20:16:16;4.667222222222223;1573158645;148.89655335363452;74.15048357010998;-0.006075007279763421;95.05232710076878;0.941476389877152;0.0;0.008302554002929004;870;92.41666627497064;92.222;89.066;95.503;6.436999999999998;10.762831892918802;63.257028112449795;4.667222222222223;280.03333333333336;16802;0.19446759259259258;0.498;74.15048357010998;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;13.834328626055948;
2019-11-07 20:36:16;5.000555555555556;1573159845;200.63108153317145;99.91427860351938;-0.00818578572444218;95.38740388969967;0.9612229160781636;0.0;0.006770213925565085;870;91.82228183962263;91.625;87.711;96.002;8.290999999999997;10.762831892918802;63.257028112449795;5.000555555555556;300.03333333333336;18002;0.20835648148148148;0.498;99.91427860351938;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;18.641105196967054;
2019-11-07 20:56:16;5.333888888888889;1573161045;137.8305562595727;68.6396170172672;-0.005623512524578576;95.05585952647759;0.9314309037634261;0.0;0.008986909485053735;870;92.61062279670975;92.503;89.567;95.773;6.206000000000003;10.762831892918802;63.257028112449795;5.333888888888889;320.03333333333336;19202;0.22224537037037037;0.498;68.6396170172672;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;12.806160834887297;
2019-11-07 21:16:16;5.667222222222223;1573162246;152.3903848671319;75.89041166383169;-0.0062175562602515945;95.72513544766792;0.9485735094497917;0.0;0.0077874544238504245;870;93.02787176470588;92.905;89.626;96.295;6.668999999999997;10.762831892918802;63.257028112449795;5.667222222222223;340.03333333333336;20402;0.23613425925925927;0.498;75.89041166383169;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;14.158948721237039;
2019-11-07 21:36:16;6.000555555555556;1573163446;162.84205086549136;81.0953413310147;-0.006643986191607286;94.85501543626526;0.9382764518781643;0.0;0.008526515707378321;870;91.96709870740305;91.704;88.262;95.898;7.635999999999996;10.762831892918802;63.257028112449795;6.000555555555556;360.03333333333336;21602;0.25002314814814813;0.498;81.0953413310147;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;15.130037566844294;
2019-11-07 21:56:16;6.333888888888889;1573164646;142.1391266039732;70.78528504877866;-0.005799303002048128;95.2219567682132;0.9321959379182546;0.0;0.008931376422593182;870;92.70402464788732;92.503;89.626;96.463;6.836999999999989;10.762831892918802;63.257028112449795;6.333888888888889;380.03333333333336;22802;0.26391203703703703;0.498;70.78528504877866;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;13.206480229194224;
2019-11-07 22:16:16;6.6675;1573165846;142.60175930273994;71.01567613276448;-0.005818178502854311;95.79952329098704;0.9263486703427777;0.0;0.009314004657123167;871;93.27368860164512;93.329;90.482;96.779;6.296999999999997;10.762831892918802;63.257028112449795;6.6675;400.05;24003;0.2778125;0.498;71.01567613276448;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;13.249464520259023;
2019-11-07 22:36:16;7.0008333333333335;1573167046;206.20031332502356;102.68775603586172;-0.008413011425213352;95.93526647723883;0.9633898420470719;0.0;0.006562832777259249;871;92.27716666666667;92.242;87.579;96.821;9.242000000000004;10.762831892918802;63.257028112449795;7.0008333333333335;420.05;25203;0.2917013888888889;0.498;102.68775603586172;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;19.15855560846296;
2019-11-07 22:56:16;7.3341666666666665;1573168246;142.242797455122;70.83691313265075;-0.005803532792202722;94.61177415780823;0.938635168038107;0.0;0.008491706880048001;871;92.08974794841734;91.724;88.95;95.337;6.3870000000000005;10.762831892918802;63.257028112449795;7.3341666666666665;440.05;26403;0.30559027777777775;0.498;70.83691313265075;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;13.216112531564105;
2019-11-07 23:16:17;7.667222222222223;1573169446;145.73265255129027;72.57486097054256;-0.005945919534118693;95.24749530402292;0.9404573472259841;0.0;0.008374526182403374;869;92.67100470035253;92.563;88.912;95.856;6.943999999999988;10.762831892918802;63.257028112449795;7.667222222222223;460.03333333333336;27602;0.3194675925925926;0.498;72.57486097054256;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;13.540363168467982;
2019-11-07 23:36:17;8.000833333333333;1573170646;244.05278262843942;121.53828574896283;-0.009957399266274548;95.70264467266622;0.9621837989941288;0.0;0.00668185802672732;870;91.36908833922261;91.605;85.841;95.856;10.015;10.762831892918802;63.257028112449795;8.000833333333333;480.05;28803;0.33336805555555554;0.498;121.53828574896283;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;22.675517471290174;
2019-11-07 23:56:17;8.334166666666667;1573171846;149.1871788682726;74.29521507639976;-0.006086864855223332;93.09125107033819;0.5657894549976847;3.0467492705097647e-62;0.04483563320217914;870;92.41407339449543;92.43199999999999;91.387;93.775;2.3880000000000052;10.762831892918802;63.257028112449795;8.334166666666667;500.05;30003;0.34725694444444444;0.498;74.29521507639976;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;13.86133132548762;
2019-11-08 00:16:17;8.6675;1573173046;272.11246584493307;135.51200799077668;-0.011102239599839553;92.04481239878339;0.9823628259231554;0.0;0.004560543206231213;870;87.21681411764705;87.0985;82.299;92.242;9.942999999999998;10.762831892918802;63.257028112449795;8.6675;520.05;31203;0.36114583333333333;0.498;135.51200799077668;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;25.28260856921534;
2019-11-08 00:36:17;9.000833333333333;1573174246;197.36110444187932;98.2858300120559;-0.008052370046329882;92.0331563155828;0.9647597932038945;0.0;0.006442662465320992;870;88.53029964747357;88.548;84.503;91.764;7.260999999999996;10.762831892918802;63.257028112449795;9.000833333333333;540.05;32403;0.3750347222222222;0.498;98.2858300120559;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;18.337283942131368;
